Entrez	Gene Symbol	Ensembl ID	P-value
9619	ABCG1	ENSG00000160179	3.49e-06
10168	ZNF197	ENSG00000281709	7.06e-06
132851	SPATA4	ENSG00000150628	1.02e-05
7175	TPR	ENSG00000047410	1.22e-05
162963	ZNF610	ENSG00000167554	1.58e-05
219749	ZNF25	ENSG00000175395	1.87e-05
55353	LAPTM4B	ENSG00000104341	1.87e-05
22852	ANKRD26	ENSG00000107890	2.07e-05
1284	COL4A2	ENSG00000134871	2.28e-05
10060	ABCC9	ENSG00000069431	2.39e-05
79441	HAUS3	ENSG00000214367	3.68e-05
10367	MICU1	ENSG00000107745	4.06e-05
11309	SLCO2B1	ENSG00000137491	4.09e-05
10637	LEFTY1	ENSG00000243709	6.13e-05
6017	RLBP1	ENSG00000140522	6.85e-05
28968	SLC6A16	ENSG00000063127	7.04e-05
51802	ASIC5	ENSG00000262505	7.21e-05
55601	DDX60	ENSG00000137628	7.52e-05
57111	RAB25	ENSG00000132698	8.25e-05
10628	TXNIP	ENSG00000265972	8.39e-05
79659	DYNC2H1	ENSG00000187240	8.52e-05
57369	GJD2	ENSG00000159248	8.9e-05
