Entrez	Gene Symbol	Ensembl ID	P-value
2312	FLG	ENSG00000143631	6.8e-11
85414	SLC45A3	ENSG00000158715	3.56e-06
10224	ZNF443	ENSG00000180855	8.93e-06
117579	RLN3	ENSG00000288474	1.04e-05
27124	INPP5J	ENSG00000185133	1.19e-05
81832	NETO1	ENSG00000166342	1.92e-05
2925	GRPR	ENSG00000126010	1.98e-05
7535	ZAP70	ENSG00000115085	2.22e-05
403313	PLPP6	ENSG00000205808	2.48e-05
1022	CDK7	ENSG00000277273	3.46e-05
83891	SNX25	ENSG00000109762	3.67e-05
27143	PALD1	ENSG00000107719	4.03e-05
825	CAPN3	ENSG00000092529	4.45e-05
258010	SVIP	ENSG00000198168	4.8e-05
79848	CSPP1	ENSG00000104218	6.64e-05
7391	USF1	ENSG00000158773	7.15e-05
60677	CELF6	ENSG00000140488	7.25e-05
51643	TMBIM4	ENSG00000155957	7.64e-05
730112	FAM166B	ENSG00000215187	8.28e-05
28962	OSTM1	ENSG00000081087	9.15e-05
