Entrez	Gene Symbol	Ensembl ID	P-value
200232	FAM209A	ENSG00000124103	6.03e-08
55529	PIP4P2	ENSG00000155099	1.75e-06
8660	IRS2	ENSG00000185950	7.09e-06
6169	RPL38	ENSG00000172809	1.07e-05
10671	DCTN6	ENSG00000104671	1.35e-05
57501	CFAP92	ENSG00000114656	1.4e-05
5727	PTCH1	ENSG00000185920	1.51e-05
392309	OR13J1	ENSG00000168828	1.66e-05
7226	TRPM2	ENSG00000142185	3.37e-05
1879	EBF1	ENSG00000164330	3.46e-05
55006	TRMT61B	ENSG00000171103	4.83e-05
91607	SLFN11	ENSG00000172716	4.88e-05
116534	MRGPRE	ENSG00000184350	5.25e-05
10017	BCL2L10	ENSG00000137875	5.43e-05
23022	PALLD	ENSG00000129116	5.96e-05
55317	AP5S1	ENSG00000125843	6.22e-05
7142	TNP2	ENSG00000178279	7.31e-05
2020	EN2	ENSG00000164778	7.36e-05
8995	TNFSF18	ENSG00000120337	7.54e-05
22861	NLRP1	ENSG00000091592	7.99e-05
79837	PIP4K2C	ENSG00000166908	8.21e-05
221044	UCMA	ENSG00000165623	8.56e-05
27	ABL2	ENSG00000143322	8.78e-05
342371	ATXN1L	ENSG00000224470	9.24e-05
