Entrez	Gene Symbol	Ensembl ID	P-value
348	APOE	ENSG00000130203	1.89e-235
11183	MAP4K5	ENSG00000012983	6.930000000000001e-125
4023	LPL	ENSG00000175445	1.89e-111
116519	APOA5	ENSG00000110243	7.26e-109
84811	BUD13	ENSG00000137656	3.63e-102
345	APOC3	ENSG00000110245	6.47e-80
51085	MLXIPL	ENSG00000009950	2.33e-66
337	APOA4	ENSG00000110244	4.7e-56
9031	BAZ1B	ENSG00000009954	5.15e-56
84226	C2orf16	ENSG00000221843	3.83e-55
11321	GPN1	ENSG00000198522	1.4e-52
51129	ANGPTL4	ENSG00000167772	2.54e-47
5049	PAFAH1B2	ENSG00000168092	5.660000000000001e-47
27329	ANGPTL3	ENSG00000132855	1.06e-46
3990	LIPC	ENSG00000166035	2.55e-35
8890	EIF2B4	ENSG00000115211	3.69e-35
26160	IFT172	ENSG00000138002	4.63e-34
338	APOB	ENSG00000084674	1.09e-31
9388	LIPG	ENSG00000101670	7.160000000000001e-29
1071	CETP	ENSG00000087237	8.640000000000001e-29
4018	LPA	ENSG00000198670	6.61e-23
23173	METAP1	ENSG00000164024	2.49e-20
57159	TRIM54	ENSG00000138100	4.77e-20
23624	CBLC	ENSG00000142273	1.36e-18
8884	SLC5A6	ENSG00000138074	1.77e-18
53345	TM6SF2	ENSG00000213996	1.18e-17
23387	SIK3	ENSG00000160584	3.66e-17
55908	ANGPTL8	ENSG00000130173	9.37e-14
335	APOA1	ENSG00000118137	9.74e-14
5140	PDE3B	ENSG00000152270	1.19e-13
1463	NCAN	ENSG00000130287	3.02e-13
113201	GOLM2	ENSG00000166734	1.02e-12
94137	RP1L1	ENSG00000183638	1.03e-12
84277	DNAJC30	ENSG00000176410	3.36e-12
6580	SLC22A1	ENSG00000175003	4.79e-12
26291	FGF21	ENSG00000105550	1.34e-11
22837	COBLL1	ENSG00000082438	2.07e-11
5817	PVR	ENSG00000073008	3.21e-11
146894	CD300LG	ENSG00000161649	5.81e-11
51092	SIDT2	ENSG00000149577	5.86e-11
81539	SLC38A1	ENSG00000111371	1.6e-09
25764	HYPK	ENSG00000242028	1.85e-09
161497	STRC	ENSG00000242866	2.28e-09
4299	AFF1	ENSG00000172493	2.54e-09
284358	MAMSTR	ENSG00000176909	3.08e-09
51374	ATRAID	ENSG00000138085	3.86e-09
2524	FUT2	ENSG00000176920	4.42e-09
442319	ZNF727	ENSG00000214652	5.01e-07
