	MisSyn	pli	Length	GO	sHet	mrna	n_mrna	CDS	lof	phy	Set
34375979_EFO_0003827	0.61051	0.987	10815.0	15.0	0.0549036	19.77852988333333	52.0	1401.0	36.468	1.026	Rare
27646141_EFO_0004340	-1.5797850000000002	1.7974999999999999	52258.0	10.0	0.00600684	14.167024342592594	49.0	1398.0	9.9036	1.018	Rare
34226706_EFO_0004309	0.468325	0.971	18069.0	18.0	0.00231983	7.522171870370369	38.0	1398.0	35.605	1.022	Rare
34375979_MONDO_0001627	0.39274	0.629	34167.0	18.5	0.0355899	18.652257870370363	51.5	1249.5	38.411	1.0255	Rare
34375979_EFO_0001068	0.59409	1.1155	44418.0	13.0	0.00308297	9.331077324999999	51.0	1671.5	54.063500000000005	1.024	Rare
34375979_EFO_0000707	-0.58055	0.571	85182.0	15.0	0.0965654	11.593584074074071	54.0	1254.0	37.726	1.073	Rare
36138231_MONDO_0004979	-0.169615	1.579	40418.5	19.0	0.0020724999999999997	6.309895331481484	30.5	1086.5	21.65	0.62725	Rare
32492392_EFO_0001073	0.2289	0.783	52690.0	17.0	0.0227326	9.936465555555554	54.0	2019.0	58.278	1.0533571428571427	Rare
34375979_EFO_0000649	0.41206	1.053	45491.0	12.0	0.00311043	7.986933471296297	44.5	1051.0	42.338	1.026	Rare
34375979_EFO_0003144	0.50535	0.924	37574.5	13.5	0.008995135	6.309056628703702	35.0	1327.5	50.206	1.0146666666666668	Rare
34375979_EFO_0004992	0.30424	1.006	89614.0	12.0	0.00288367	7.136858288888889	39.0	738.0	40.571	1.010125	Rare
31367044_EFO_0010119	0.2686	0.778	40275.0	14.0	0.00552088	13.458699351851852	52.0	1938.0	92.45	0.947	Rare
34375979_EFO_0004705	-0.046452	0.892	44756.5	11.5	0.00993757	8.996403694444444	52.5	1634.0	54.948	1.0666666666666667	Rare
36809768_EFO_0022330	0.063051	0.985	21922.0	17.0	0.00685531	15.561033333333334	53.0	1383.0	47.979	1.026	Rare
36809768_EFO_0022334	0.071541	1.047	24817.0	17.0	0.00366141	10.423178333333336	50.0	1357.0	45.407	1.014	Rare
30255815_MONDO_0004975	-0.8631	1.107	36002.0	8.0	0.00580476	14.092461851851851	40.0	1605.0	41.925	1.02	Rare
37262146_EFO_0004799	-0.57433	1.109	26393.0	26.0	0.00147794	1.2862398185185184	10.0	1824.0	56.919	1.026	Rare
34375979_EFO_0003778	-0.41632	0.764	22332.0	20.0	0.00920469	22.471894629629624	32.0	1854.0	51.264	0.947	Rare
34375979_EFO_0006803	-0.8060149999999999	1.0645	34320.5	10.5	0.003433565	14.38368303981482	53.0	1082.5	39.2015	1.0339999999999998	Rare
34226706_EFO_0010968	0.045816	1.201	45700.0	27.0	0.00274324	3.800203018518519	16.0	1471.0	42.48	1.026	Rare
36809768_EFO_0022229	0.1093315	1.0085	23872.5	19.5	0.008144235	14.207352633333333	53.0	1356.5	49.683	1.026	Rare
36138231_EFO_0007984	0.32578	0.918	49650.5	18.5	0.011069555	13.93204148148148	50.0	1503.0	35.605	1.026	Rare
34375979_EFO_0003770	0.32438	0.6845	29764.0	11.0	0.029887595000000003	11.932721851851854	53.0	1025.0	37.9035	0.957	Rare
36809768_EFO_0022237	0.11107500000000001	0.9555	24040.5	18.0	0.009120844999999999	12.98840651851852	50.5	1404.0	49.966	1.026	Rare
36809768_EFO_0004696	0.10345	0.911	25526.0	13.0	0.00772387	12.051418101851851	53.0	1529.5	48.347	1.026	Rare
34375979_EFO_0000783	-0.70752	1.036	36251.5	10.0	0.0278092	14.117477037037037	54.0	1686.0	50.859	1.026	Rare
34375979_EFO_0004607	-0.0492685	0.7995	31141.5	14.0	0.01826865	13.798202629629628	52.0	1257.0	37.8685	1.026	Rare
31992710_EFO_0009188	-1.4054	1.777	3931.0	15.0	0.00197621	22.94012907407407	54.0	1089.0	25.146	1.025	Rare
36809768_EFO_0022341	0.0010979	1.038	25010.0	17.0	0.00285978	12.557389944444443	52.0	1556.0	49.467	1.026	Rare
34375979_EFO_1000726	0.24496	1.0514999999999999	29790.0	12.0	0.016149	15.309169629629633	54.0	1117.0	25.016	1.026	Rare
34375979_MONDO_0005129	0.35627	0.928	37903.0	15.0	0.0231387	6.029440740740744	39.0	1543.0	51.822	1.026	Rare
34375979_EFO_0000756	-0.016593999999999998	0.834	45059.5	19.0	0.022071800000000003	6.508134249999999	52.0	1561.0	45.3895	1.026	Rare
36809768_EFO_0022313	0.12791	0.985	31349.0	16.0	0.00576726	10.423178333333336	47.0	1380.0	38.381	1.026	Rare
34375979_EFO_0000384	-1.63445	1.3864999999999998	69507.0	14.0	0.00106257	5.602021814814815	53.0	2832.0	71.543	1.015	Rare
34375979_EFO_0004255	0.12919	0.859	68607.0	11.5	0.003053445	10.614860685185185	52.0	2313.5	67.324	0.999	Rare
34375979_EFO_0007167	0.38676999999999995	0.8785000000000001	35505.0	11.0	0.0063681250000000005	10.192173046296299	51.0	1760.0	46.201499999999996	1.026	Rare
36303018_EFO_0004574	0.1102205	0.9804999999999999	35808.5	14.5	0.009162865	29.447479166666675	54.0	2114.5	66.2975	0.979125	Rare
36280733_EFO_0004541	-0.17054	0.875	24035.0	16.5	0.00917699	14.544221851851852	54.0	1755.5	117.48	1.0415	Rare
34375979_EFO_0008406	0.041533	0.9555	25891.0	20.5	0.01926955	16.36756013888889	54.0	1376.5	46.4875	1.026	Rare
25583502_EFO_0004340	-1.6866	1.077	20579.0	22.0	0.0689179	8.383400370370369	54.0	1969.0	82.383	1.025	Rare
36809768_EFO_0004732	0.07035649999999999	0.839	23120.0	19.0	0.01056926	14.968568374074074	53.0	1289.0	42.8045	1.0453333333333332	Rare
34375979_EFO_0000274	0.3022	0.91	23074.0	12.0	0.0242721	12.647431503703706	52.0	1589.0	45.89	1.026	Rare
34375979_EFO_0006927	0.78095	0.792	30199.0	16.0	0.0202501	10.365080555555558	54.0	1665.0	74.089	1.026	Rare
26736064_EFO_0000341	0.23195	1.212	17985.0	13.0	0.005353975	13.712282592592588	32.0	501.0	19.664	0.9559	Rare
34244158_MONDO_0002367	0.46402	1.0885	35999.0	8.0	0.00228046	5.233438129629629	41.0	1696.0	69.274	1.023	Rare
34662886_EFO_0007992	0.28428	0.879	27355.0	20.5	0.00535221	16.456474426851855	51.0	1314.5	35.3735	1.044	Rare
34375979_MONDO_0005090	-0.21768	0.856	31730.5	12.0	0.012054455	11.429891574074077	51.5	1498.5	45.004	1.026	Rare
37262146_EFO_0004617	0.054195	0.848	74468.5	17.0	0.024307000000000002	10.273426694444442	51.0	1852.5	70.293	1.026	Rare
36809768_EFO_0004531	0.18902	0.899	27558.0	14.0	0.00879822	12.613359999999998	52.0	1610.0	60.388	1.026	Rare
36809768_EFO_0022272	-0.14111	1.0495	29687.0	16.5	0.00327358	8.399328496296299	44.5	1714.0	54.344	1.0225	Rare
34375979_EFO_0008418	-0.15297349999999998	1.0350000000000001	32982.0	11.5	0.00398703	7.889610740740743	38.0	1771.5	60.598	1.013	Rare
34662886_EFO_0007991	-0.06895	0.9510000000000001	45042.5	19.5	0.008010995	7.004252385185185	50.5	1671.0	70.25450000000001	0.9806666666666666	Rare
34375979_MONDO_0018076	0.55483	0.827	24805.5	14.0	0.0118492	10.810279796296298	53.0	1288.5	26.445	1.024	Rare
34662886_MONDO_0007254	1.4165	0.8925000000000001	69930.5	46.5	0.0035006200000000003	2.9440181851851857	38.5	3419.0	139.155	0.4097019230769231	Rare
34375979_EFO_0004593	-0.1277455	0.827	33162.0	20.0	0.03060465	14.503241790370364	19.0	1269.5	49.423	1.02375	Rare
34375979_EFO_0005938	0.064528	1.1065	41905.5	8.5	0.00184792	3.380318794444444	24.0	1617.0	36.709	0.9648333333333333	Rare
36809768_EFO_0022225	0.063051	1.054	26393.0	17.0	0.001613705	7.50994280185185	19.0	1546.0	58.606	1.004	Rare
34375979_MONDO_0008903	0.35954	1.186	42769.5	11.5	0.002543685	8.822599759259258	50.5	1281.5	48.032	1.0814545454545454	Rare
34375979_EFO_0006788	-0.009862999999999997	0.7555000000000001	66757.0	8.5	0.033229675	3.9770399814814814	53.0	2044.0	73.13	1.0504	Rare
34375979_MONDO_0019338	-0.019839000000000002	0.94	21942.0	17.0	0.007372719999999999	6.3800834907407395	52.0	1109.0	35.589	0.9625	Rare
34375979_EFO_0000538	-0.136425	0.746	111842.0	12.0	0.0290628	4.412902325925926	27.0	1471.0	83.3255	1.026	Rare
34662886_EFO_0004842	-0.5083	1.2335	28775.0	22.0	0.007461965	7.567115122222223	32.5	1119.0	24.185000000000002	0.8410416666666667	Rare
25187575_EFO_0000319	-0.3145	0.589	23969.0	35.0	0.0491455	13.234307407407409	54.0	1188.0	42.174	1.0253333333333334	Rare
31367044_EFO_0005001	0.19871	1.265	121521.0	9.0	0.00175739	11.593584074074071	17.0	1035.0	27.545	1.1195	Rare
36809768_EFO_0022144	0.071541	1.018	24817.0	16.0	0.00816304	9.98522053703704	50.0	1383.0	38.381	1.026	Rare
34375979_EFO_0003819	-0.11362308	0.8554999999999999	15084.0	11.0	0.0248783	7.77288240740741	38.0	1209.0	43.617000000000004	1.026	Rare
36809768_EFO_0022226	0.06611149999999999	1.044	21145.0	17.0	0.00406975	13.988648074074074	36.5	1324.0	41.536	1.024	Rare
35935937_EFO_0004842	-0.76139	0.848	30739.0	23.0	0.00892589	10.509851481481483	52.0	1658.0	46.197	0.952	Rare
37262146_EFO_0004338	-0.020154	0.637	68508.0	14.0	0.0283381	9.844268518518518	52.0	2532.0	99.704	1.026	Rare
36809768_EFO_0022287	0.02876745	1.0505	26639.0	17.0	0.003260595	11.805047026851852	48.5	1575.5	46.438	1.0253333333333332	Rare
34662886_EFO_0010967	0.524635	0.7324999999999999	155953.5	22.5	0.009607055	3.0544298138888895	29.0	4339.5	179.35000000000002	0.721	Rare
36809768_EFO_0022290	-0.057916499999999996	1.044	28871.0	16.5	0.0061761	16.042485203703706	50.5	1511.5	55.08	1.024	Rare
