Entrez	Gene Symbol	P-value	Beta
10767	HBS1L	1e-300	
7036	TFR2	1e-300	
28	ABO	1.0000000000000001e-212	
5581	PRKCE	8e-205	
51422	PRKAG2	5e-171	
3098	HK1	5.000000000000001e-125	
10320	IKZF1	7e-107	
10171	RCL1	4e-105	
4137	MAPT	3e-98	
8131	NPRL3	5.9999999999999996e-92	
6911	TBX6	3e-90	
25893	TRIM58	5e-85	
7015	TERT	2e-69	
9761	MLEC	6e-67	
23139	MAST2	1e-64	
253461	ZBTB38	5e-62	
545	ATR	3e-58	
11322	TMC6	5.000000000000001e-58	
94239	H2AZ2	2e-52	
147339	ARK2N	1e-51	
114818	KLHL29	9e-50	
220972	MARCHF8	6e-49	
145957	NRG4	7e-49	
7477	WNT7B	2e-47	
5629	PROX1	1e-46	
8943	AP3D1	7e-46	
775	CACNA1C	3e-45	
50650	ARHGEF3	3e-43	
23228	PLCL2	6.999999999999999e-42	
6667	SP1	4e-41	
57619	SHROOM3	7e-41	
84152	PPP1R1B	1e-40	
5213	PFKM	5.0000000000000005e-39	
27148	STK36	3e-37	
9911	TMCC2	3e-37	
10723	SLC12A7	3e-35	
84870	RSPO3	3e-35	
896	CCND3	5e-35	
23039	XPO7	2.0000000000000003e-34	
9739	SETD1A	1e-33	
4286	MITF	1.9999999999999998e-32	
4005	LMO2	4.999999999999999e-32	
6239	RREB1	7.0000000000000015e-31	
84717	HDGFL2	3e-30	
5890	RAD51B	1.0000000000000001e-29	
6764	DENND2B	8.000000000000001e-29	
25804	LSM4	1.9999999999999997e-28	
54806	AHI1	1.9999999999999997e-28	
56965	PARP6	5e-28	
55731	FAM222B	5e-28	
57479	PRR12	7e-28	
27086	FOXP1	1e-27	
143888	POGLUT3	1e-27	
161882	ZFPM1	1e-27	
493	ATP2B4	1e-27	
5725	PTBP1	5e-27	
2621	GAS6	9.999999999999999e-27	
2100	ESR2	9.999999999999999e-27	
7157	TP53	3.9999999999999996e-26	
9052	GPRC5A	3.9999999999999996e-26	
169792	GLIS3	3.9999999999999996e-26	
7764	ZNF217	9e-26	
57666	FBRSL1	8.999999999999998e-25	
3899	AFF3	3e-24	
8031	NCOA4	5e-24	
64116	SLC39A8	6e-24	
4779	NFE2L1	7.000000000000001e-24	
53349	ZFYVE1	7.000000000000001e-24	
7704	ZBTB16	1.0000000000000001e-23	
440275	EIF2AK4	1.0000000000000001e-23	
1188	CLCNKB	1.0000000000000001e-23	
55064	SPATA6L	2.0000000000000002e-23	
140688	NOL4L	2.0000000000000002e-23	
164656	TMPRSS6	5e-23	
26227	PHGDH	1e-22	
29842	TFCP2L1	2e-22	
63976	PRDM16	2e-22	
22992	KDM2A	3e-22	
26234	FBXL5	3e-22	
3172	HNF4A	6e-22	
8170	SLC14A2	1e-21	
6299	SALL1	1e-21	
3783	KCNN4	2e-21	
55666	NPLOC4	4e-21	
57326	PBXIP1	4e-21	
54828	BCAS3	5e-21	
48	ACO1	6e-21	
2078	ERG	8e-21	
54899	PXK	9e-21	
53335	BCL11A	1e-20	
10293	TRAIP	1e-20	
84450	ZNF512	1e-20	
57140	RNPEPL1	1e-20	
10477	UBE2E3	1e-20	
2972	BRF1	2e-20	
2122	MECOM	2e-20	
51020	HDDC2	4e-20	
6453	ITSN1	4e-20	
11183	MAP4K5	6e-20	
64682	ANAPC1	6e-20	
54855	TENT5C	1e-19	
26052	DNM3	2e-19	
10217	CTDSPL	2e-19	
1870	E2F2	2e-19	
63925	ZNF335	3e-19	
861	RUNX1	3e-19	
92521	SPECC1	3e-19	
11336	EXOC3	3e-19	
26100	WIPI2	4e-19	
6886	TAL1	5e-19	
948	CD36	9e-19	
9682	KDM4A	1e-18	
5054	SERPINE1	1e-18	
6708	SPTA1	2e-18	
84456	L3MBTL3	2e-18	
81027	TUBB1	2e-18	
7284	TUFM	3e-18	
5198	PFAS	4e-18	
23026	MYO16	5e-18	
80315	CPEB4	8e-18	
368	ABCC6	8e-18	
23211	ZC3H4	9e-18	
7227	TRPS1	2e-17	
1021	CDK6	2e-17	
145282	MIPOL1	2e-17	
55701	ARHGEF40	2e-17	
55289	ACOXL	2e-17	
2766	GMPR	2e-17	
196528	ARID2	4e-17	
169436	STKLD1	4e-17	
137682	NDUFAF6	6e-17	
64420	SUSD1	6e-17	
284058	KANSL1	9e-17	
129685	TAF8	9e-17	
9351	NHERF2	1e-16	
9180	OSMR	1e-16	
84969	TOX2	1e-16	
8178	ELL	2e-16	
404037	HAPLN4	2e-16	
8328	GFI1B	2e-16	
135112	NCOA7	2e-16	
6387	CXCL12	2e-16	
89882	TPD52L3	2e-16	
4092	SMAD7	2e-16	
1906	EDN1	3e-16	
10270	AKAP8	4e-16	
5586	PKN2	5e-16	
3822	KLRC2	6e-16	
22837	COBLL1	6e-16	
55691	FRMD4A	6e-16	
5331	PLCB3	6e-16	
440590	ZYG11A	9e-16	
57669	EPB41L5	1e-15	
5393	EXOSC9	1e-15	
8545	CGGBP1	2e-15	
11177	BAZ1A	2e-15	
253959	RALGAPA1	2e-15	
6875	TAF4B	2e-15	
10734	STAG3	2e-15	
60468	BACH2	2e-15	
6604	SMARCD3	3e-15	
5926	ARID4A	3e-15	
8537	BCAS1	3e-15	
341019	DCDC1	5e-15	
10788	IQGAP2	5e-15	
50861	STMN3	6e-15	
9811	CTIF	7e-15	
23250	ATP11A	8e-15	
