Entrez	Gene Symbol	P-value	Beta
7037	TFRC	1e-319	
10171	RCL1	0.0	
64599	GIGYF1	0.0	
8131	NPRL3	0.0	
10767	HBS1L	0.0	
84717	HDGFL2	0.0	
7263	TST	0.0	
10260	DENND4A	3e-293	
147339	ARK2N	2e-264	
545	ATR	7e-260	
55731	FAM222B	1e-220	
10320	IKZF1	1e-217	
2766	GMPR	9e-204	
220972	MARCHF8	1e-201	
25793	FBXO7	7e-170	
3098	HK1	1e-144	
92521	SPECC1	7e-138	
7015	TERT	8e-137	
84747	UNC119B	4e-135	
9911	TMCC2	4e-134	
23039	XPO7	1e-118	
8031	NCOA4	1e-100	
6911	TBX6	3e-99	
51312	SLC25A37	2e-96	
26100	WIPI2	5e-74	
596	BCL2	1e-70	
83855	KLF16	2.9999999999999995e-70	
4299	AFF1	8.999999999999999e-70	
91748	MIDEAS	2e-64	
23228	PLCL2	7.999999999999999e-63	
754	PTTG1IP	5e-60	
8140	SLC7A5	3e-59	
25893	TRIM58	1e-58	
7018	TF	6e-58	
1870	E2F2	9e-58	
160140	C11orf65	3e-56	
6521	SLC4A1	5e-56	
94239	H2AZ2	8e-55	
22978	NT5C2	9.999999999999999e-55	
11030	RBPMS	1e-53	
28	ABO	2e-52	
6240	RRM1	2e-51	
8660	IRS2	4e-46	
5292	PIM1	3e-45	
8850	KAT2B	5.999999999999999e-44	
29982	NRBF2	1e-43	
84941	HSH2D	2e-43	
9230	RAB11B	6.999999999999999e-42	
999	CDH1	1e-41	
9839	ZEB2	1e-41	
10541	ANP32B	2e-41	
145282	MIPOL1	3e-41	
5926	ARID4A	8e-41	
1373	CPS1	6e-39	
51218	GLRX5	2e-36	
9792	SERTAD2	8e-36	
4208	MEF2C	1e-35	
92140	MTDH	2e-35	
23460	ABCA6	4.0000000000000006e-34	
374618	TEX9	6e-34	
7764	ZNF217	2e-33	
5295	PIK3R1	2e-33	
80339	PNPLA3	9e-33	
29125	C11orf21	4.999999999999999e-32	
64795	RMND5A	8e-31	
7398	USP1	6.999999999999999e-30	
54498	SMOX	7.999999999999999e-30	
4524	MTHFR	1.0000000000000001e-29	
64093	SMOC1	1.0000000000000001e-29	
6708	SPTA1	1.0000000000000001e-29	
63976	PRDM16	6e-29	
115286	SLC25A26	7.000000000000001e-29	
27152	INTU	1.9999999999999997e-28	
7704	ZBTB16	1.9999999999999997e-28	
440275	EIF2AK4	3.9999999999999994e-28	
114818	KLHL29	2e-27	
79827	CLMP	2e-27	
51592	TRIM33	2e-27	
23112	TNRC6B	9.999999999999999e-27	
7157	TP53	1.9999999999999998e-26	
63935	PCIF1	1.9999999999999998e-26	
27086	FOXP1	3e-26	
90355	MACIR	3e-26	
4330	MN1	5e-25	
10599	SLCO1B1	8.999999999999998e-25	
200734	SPRED2	5e-24	
55027	HEATR3	1.0000000000000001e-23	
665	BNIP3L	1.0000000000000001e-23	
25853	DCAF12	2.0000000000000002e-23	
22803	XRN2	2.0000000000000002e-23	
5890	RAD51B	3e-22	
2078	ERG	5e-22	
861	RUNX1	8e-22	
25970	SH2B1	9e-22	
57184	FAM219B	2e-21	
57623	ZFAT	2e-21	
25921	ZDHHC5	3e-21	
2037	EPB41L2	5e-21	
11177	BAZ1A	6e-21	
10464	PIBF1	8e-21	
55009	FAM174C	2e-20	
9361	LONP1	2e-20	
80342	TRAF3IP3	2e-19	
6195	RPS6KA1	2e-19	
3822	KLRC2	2e-19	
64420	SUSD1	2e-19	
3607	FOXK2	3e-19	
9962	SLC23A2	3e-19	
5933	RBL1	5e-19	
9816	URB2	6e-19	
2235	FECH	7e-19	
3043	HBB	1e-18	
55291	PPP6R3	2e-18	
3146	HMGB1	2e-18	
11100	HNRNPUL1	2e-18	
25948	KBTBD2	3e-18	
56731	SLC2A4RG	3e-18	
55892	MYNN	7e-18	
1318	SLC31A2	2e-17	
255967	PAN3	2e-17	
51366	UBR5	2e-17	
9929	JOSD1	4e-17	
11077	HSF2BP	5e-17	
8898	MTMR2	6e-17	
79970	ZNF767P	6e-17	
30061	SLC40A1	9e-17	
50939	IMPG2	1e-16	
2972	BRF1	1e-16	
51564	HDAC7	4e-16	
22936	ELL2	5e-16	
4756	NEO1	6e-16	
9742	IFT140	9e-16	
8454	CUL1	2e-15	
6660	SOX5	2e-15	
8932	MBD2	2e-15	
51168	MYO15A	2e-15	
23300	ATMIN	3e-15	
6774	STAT3	3e-15	
10513	APPBP2	4e-15	
3242	HPD	5e-15	
339344	MYPOP	6e-15	
80762	NDFIP1	8e-15	
978	CDA	8e-15	
26065	LSM14A	1e-14	
4092	SMAD7	2e-14	
10212	DDX39A	2e-14	
5591	PRKDC	3e-14	
23047	PDS5B	6e-14	
55197	RPRD1A	8e-14	
28969	BZW2	1e-13	
9969	MED13	1e-13	
23645	PPP1R15A	1e-13	
15	AANAT	2e-13	
5866	RAB3IL1	3e-13	
3930	LBR	4e-13	
252983	STXBP4	5e-13	
80007	C10orf88	6e-13	
63967	CLSPN	7e-13	
55666	NPLOC4	1e-12	
51130	ASB3	1e-12	
84923	VCF1	1e-12	
147372	CCBE1	2e-12	
9156	EXO1	3e-12	
6502	SKP2	3e-12	
64778	FNDC3B	5e-12	
5562	PRKAA1	5e-12	
81618	ITM2C	7e-12	
23495	TNFRSF13B	7e-12	
100129583	FAM47E	7e-12	
1385	CREB1	8e-12	
11214	AKAP13	9e-12	
58495	OVOL2	1e-11	
83666	PARP9	2e-11	
8665	EIF3F	2e-11	
29097	CNIH4	2e-11	
286826	LIN9	2e-11	
10762	NUP50	2e-11	
57520	HECW2	2e-11	
843	CASP10	2e-11	
2189	FANCG	2e-11	
7050	TGIF1	3e-11	
284	ANGPT1	3e-11	
23200	ATP11B	3e-11	
85413	SLC22A16	4e-11	
8814	CDKL1	4e-11	
5570	PKIB	4e-11	
23253	ANKRD12	5e-11	
57121	LPAR5	5e-11	
8444	DYRK3	5e-11	
3703	STT3A	6e-11	
157680	VPS13B	6e-11	
949	SCARB1	8e-11	
6522	SLC4A2	9e-11	
54901	CDKAL1	9e-11	
7298	TYMS	1e-10	
100652824	KIAA2012	1e-10	
27332	ZNF638	1e-10	
3669	ISG20	1e-10	
55770	EXOC2	1e-10	
64839	FBXL17	1e-10	
6117	RPA1	1e-10	
5331	PLCB3	1e-10	
23410	SIRT3	2e-10	
6790	AURKA	2e-10	
4601	MXI1	2e-10	
468	ATF4	2e-10	
9919	SEC16A	2e-10	
