Entrez	Gene Symbol	P-value	Beta
3908	LAMA2	5.999999999999999e-62	0.3336283
56479	KCNQ5	2e-35	0.1455045
54715	RBFOX1	6.0000000000000005e-31	0.13788192
29095	ORMDL2	8e-27	0.1441487
3778	KCNMA1	4e-19	0.10461224
79698	ZMAT4	4e-19	0.13499875
5923	RASGRF1	3e-18	0.09978198
8170	SLC14A2	9e-15	0.1193107
143162	FRMPD2	1e-14	0.098622866
50940	PDE11A	2e-14	0.086883865
1604	CD55	7e-14	0.09109221
83882	TSPAN10	1e-13	0.087415464
652	BMP4	1e-12	0.08018672
80114	BICC1	1e-12	0.084717914
92949	ADAMTSL1	2e-12	0.08217039
4642	MYO1D	5e-12	0.09773451
2202	EFEMP1	3e-11	0.10406268
153020	RASGEF1B	8e-11	0.07430938
388336	SHISA6	1e-10	0.0729995
2893	GRIA4	2e-10	0.07422582
92211	CDHR1	2e-10	0.071976244
53981	CPSF2	2e-10	0.1005532
7434	VIPR2	8e-10	0.085489385
59269	HIVEP3	1e-09	0.07362824
55243	KIRREL1	2e-09	0.07617369
7477	WNT7B	3e-09	0.072069466
253461	ZBTB38	2e-08	0.06499623
118429	ANTXR2	2e-08	0.08037635
4645	MYO5B	2e-08	0.087332994
2904	GRIN2B	2e-08	0.070775285
55297	CCDC91	2e-08	0.068004385
255394	TCP11L2	3e-08	0.0835044
9472	AKAP6	3e-08	0.063303016
