Entrez	PhyloP_mean	PhyloP_median	CDS_Length
1	0.062387313172043	0.089	1488
2	0.4700922589830507	1.026	4425
9	0.4438248007554295	0.881	910
10	0.299896	0.5235	678
12	0.0793001421791994	0.155	1108
13	0.3512671441666666	0.286	907
14	0.819270604579985	1.0756666666666668	1287
15	0.3656538948230211	0.3165	691
16	0.7411651764025552	1.026	2898
18	0.6760950944142723	1.113	1521
19	0.6728680211252281	1.082	3760
20	0.5949885866154397	1.026	7340
21	0.5431577304151788	1.026	3562
22	0.851772743749958	1.138	2159
23	0.6948117376233302	1.049	2501
24	0.6699568981029262	1.054	4881
25	0.6646838784851163	1.026	3421
26	0.4618483233722898	1.016	2270
27	0.7765712777433862	1.0911428571428572	3326
28	0.0429655295594696	0.5456666666666666	752
29	0.7764559123684179	1.104142857142857	1918
30	0.6853113541965493	1.026	1141
31	0.8215935304351264	1.1202	5641
32	0.6645134808023491	1.1273333333333333	5777
33	0.6431042281515854	1.011	1293
34	0.7067030546925843	1.1379374999999998	1133
35	0.6203946927958701	1.138	1233
36	0.6068028867429978	1.026	1146
37	0.6788677138836084	1.0596666666666668	1969
38	0.6769880590571669	1.1065714285714283	999
39	0.6726734798994974	1.049	1194
40	0.9091427755830672	1.126	1615
41	0.8697871092151855	1.1343333333333332	1667
43	0.6763080826068276	1.026	1804
47	0.8082999514035147	1.138	3131
48	0.7716394014981273	1.138	2670
49	0.330289274903767	0.323	952
50	0.7667330328142669	1.1328	2196
51	0.7531346535552194	1.072	1983
52	0.7224817746669132	1.0706	352
53	0.7630952807159141	1.124	1112
54	0.5519585475350322	1.026	959
55	0.5221149907650982	1.023	1160
56	0.4049249748136355	0.215125	690
58	0.7952580703639246	1.046	1063
59	0.8175335137557932	1.138	1112
60	0.7380379829651672	1.0393333333333332	974
70	0.866354606543517	1.138	1117
71	0.5439773476100356	0.93	1119
72	0.8263180125125411	1.1349999999999998	906
81	0.824638955855811	1.138	2573
86	0.8811170064599484	1.138	1206
87	0.8467751509733137	1.138	2637
88	0.8163826329312943	1.138	2654
89	0.7410666164629258	1.134	2770
90	0.8639188926658753	1.138	1529
91	0.8063478823289498	1.138	1483
92	0.9824904060014183	1.138	1434
