Entrez	P-value
338	1.89e-121
255738	2.53e-67
1071	2.08e-53
345	9.2e-37
3949	7.65e-32
3990	1.23e-31
53345	5.39e-31
23460	1.1300000000000001e-29
1463	6.19e-26
587	6.89e-22
728780	1.56e-20
2524	2.74e-20
78992	5.2e-20
10087	1.45e-18
26762	2.71e-18
23624	6.55e-18
4023	2.35e-17
11183	5.43e-17
23461	7.79e-17
27329	4.73e-16
256006	7.48e-16
64241	7.75e-16
64240	2.09e-15
116519	2.33e-14
284358	2.55e-14
6580	1.11e-13
6927	1.25e-13
8882	4.06e-13
94039	4.18e-13
26291	1.75e-12
3837	3.39e-12
9388	5.26e-12
84811	1.05e-11
134359	1.36e-11
54905	2.56e-11
54854	5.36e-11
85363	6.14e-11
169436	3.26e-10
343263	5.73e-10
84226	1.52e-09
350	2.33e-09
10072	5.25e-09
582	8.88e-09
5817	8.95e-09
29881	7.14e-06
