Entrez	P-value
8347	0.0
3098	0.0
5581	0.0
6311	2e-272
51422	2.9999999999999997e-222
10767	4e-134
81846	2e-79
5629	3e-72
4299	2e-62
8943	6.999999999999999e-62
775	2e-57
84717	2.9999999999999998e-55
7477	1e-53
203	9e-53
6764	7e-50
80339	7e-49
7158	5e-48
5725	1e-47
50650	1e-47
23139	2e-44
3172	4.999999999999999e-44
57619	4.999999999999999e-44
84870	9e-44
23460	2e-40
6575	3e-39
2762	2e-38
388588	4e-38
83986	7e-38
64116	1e-37
493	5e-36
5468	7e-36
137682	2e-35
7227	4e-35
6521	1.9999999999999998e-32
57479	3.0000000000000003e-31
9052	4e-31
6927	7.0000000000000015e-31
25893	3e-29
84456	7.000000000000001e-29
10217	9.999999999999999e-29
27148	1.9999999999999997e-28
57610	6e-28
64943	7e-28
5575	1e-27
3783	1e-27
84133	1e-27
23205	2e-27
6911	8e-27
1188	3.9999999999999996e-26
146754	3.9999999999999996e-26
23211	3e-25
29842	6e-25
54899	2.0000000000000002e-23
8609	2.0000000000000002e-23
48	5e-23
80114	3e-22
11136	3e-22
26052	4e-22
2621	4e-21
3626	5e-21
55701	1e-20
11336	2e-20
286676	9e-20
9187	1e-19
10144	2e-19
440590	3e-19
112399	3e-19
2122	5e-19
57669	7e-19
51755	1e-18
10002	1e-18
4779	2e-18
54986	3e-18
8897	4e-18
2658	5e-18
152273	9e-18
165324	1e-17
286	2e-17
55691	2e-17
5771	3e-17
22837	3e-17
11322	4e-17
55731	5e-17
23014	6e-17
6708	7e-17
51020	8e-17
51312	9e-17
8170	2e-16
5998	2e-16
79658	2e-16
253959	4e-16
368	1e-15
342184	2e-15
65986	3e-15
6095	3e-15
11240	3e-15
1109	3e-15
51130	5e-15
64919	6e-15
9249	6e-15
3174	8e-15
51626	8e-15
55252	9e-15
132660	1e-14
56993	1e-14
8110	1e-14
57666	1e-14
54537	2e-14
2590	3e-14
23382	6e-14
11183	9e-14
91748	1e-13
53345	2e-13
51741	2e-13
7150	2e-13
10632	3e-13
154215	4e-13
196528	4e-13
8140	6e-13
7021	6e-13
5152	6e-13
5314	6e-13
92521	7e-13
5890	1e-12
253461	1e-12
2998	1e-12
4208	1e-12
9180	2e-12
23548	2e-12
326340	2e-12
83938	2e-12
4627	2e-12
406	2e-12
6492	3e-12
10301	3e-12
3084	3e-12
7325	4e-12
22848	6e-12
56181	8e-12
26227	9e-12
10116	9e-12
220972	9e-12
81027	1e-11
90627	1e-11
1909	1e-11
57492	1e-11
6429	1e-11
23095	1e-11
6660	2e-11
5536	2e-11
26249	2e-11
57211	4e-11
2494	4e-11
8527	4e-11
10714	5e-11
2642	5e-11
23228	6e-11
3899	6e-11
80122	6e-11
2078	8e-11
84441	9e-11
3694	1e-10
3672	1e-10
3480	1e-10
4211	1e-10
91461	1e-10
223117	1e-10
4784	1e-10
55328	2e-10
84333	2e-10
23295	2e-10
8836	2e-10
10580	3e-10
4233	3e-10
3756	3e-10
3062	3e-10
9444	3e-10
10846	3e-10
2683	4e-10
861	5e-10
2120	5e-10
23218	5e-10
126	5e-10
57404	5e-10
23293	6e-10
2934	6e-10
22897	6e-10
7168	6e-10
25943	7e-10
8660	7e-10
57523	7e-10
25960	7e-10
130399	7e-10
4774	9e-10
