"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Glucagon signaling pathway","KEGG:04922","0.00003448689908728128","4.462345853757455","107","6","4","8484","2645,5214,57818,6514"
"KEGG","Galactose metabolism","KEGG:00052","0.000047409487080070816","4.324134743257291","32","6","3","8484","2645,5214,57818"
"KEGG","Central carbon metabolism in cancer","KEGG:05230","0.0002589783913135312","3.586736471149628","70","6","3","8484","2645,5214,6514"
"KEGG","Glycolysis / Gluconeogenesis","KEGG:00010","0.0002589783913135312","3.586736471149628","67","6","3","8484","2645,5214,57818"
"KEGG","Insulin secretion","KEGG:04911","0.0003723363459286737","3.429064567687564","85","6","3","8484","111,2645,6514"
"KEGG","Maturity onset diabetes of the young","KEGG:04950","0.0021960894575495165","2.6583499729064566","26","6","2","8484","2645,6514"
"KEGG","Starch and sucrose metabolism","KEGG:00500","0.0036374155340228574","2.439207082826296","36","6","2","8484","2645,57818"
"KEGG","Carbohydrate digestion and absorption","KEGG:04973","0.004837584446280227","2.31537144073615","47","6","2","8484","57818,6514"
"KEGG","Type II diabetes mellitus","KEGG:04930","0.004837584446280227","2.31537144073615","46","6","2","8484","2645,6514"
"KEGG","Prolactin signaling pathway","KEGG:04917","0.009656350180972693","2.0151869932310773","70","6","2","8484","2645,6514"
"KEGG","Melanogenesis","KEGG:04916","0.01817791168639488","1.740456010837312","101","6","2","8484","111,6934"
"KEGG","Insulin resistance","KEGG:04931","0.019023082552785387","1.7207191074200139","108","6","2","8484","57818,6514"
"KEGG","Carbon metabolism","KEGG:01200","0.01987709543986177","1.7016470770111438","115","6","2","8484","2645,5214"
"KEGG","AMPK signaling pathway","KEGG:04152","0.020072760888138957","1.6973928887970269","120","6","2","8484","5214,57818"
"KEGG","Neomycin, kanamycin and gentamicin biosynthesis","KEGG:00524","0.02279347790284317","1.6421894037018507","5","6","1","8484","2645"
"KEGG","Insulin signaling pathway","KEGG:04910","0.02279347790284317","1.6421894037018507","137","6","2","8484","2645,57818"
"KEGG","Cushing syndrome","KEGG:04934","0.02664139792932991","1.5744429905728494","153","6","2","8484","111,6934"
"HP","Increased waist to hip ratio","HP:0031819","0.00001013009560789885","4.994386455746635","35","6","4","5080","169026,2645,6514,6934"
"HP","Abnormal waist to hip ratio","HP:0031818","0.00001013009560789885","4.994386455746635","35","6","4","5080","169026,2645,6514,6934"
"HP","Insulin resistance","HP:0000855","0.0007270476390161682","3.138437131528849","110","6","4","5080","169026,2645,6514,6934"
"HP","Type II diabetes mellitus","HP:0005978","0.0010520130498440194","2.9779788728818084","137","6","4","5080","169026,2645,6514,6934"
"HP","Late onset","HP:0003584","0.0010520130498440194","2.9779788728818084","136","6","4","5080","169026,2645,6514,6934"
"HP","Diabetes mellitus","HP:0000819","0.03971581870216303","1.4010364804728437","361","6","4","5080","169026,2645,6514,6934"
"HP","Glucose intolerance","HP:0001952","0.03971581870216303","1.4010364804728437","374","6","4","5080","169026,2645,6514,6934"
"HP","Abnormality of the endocrine system","HP:0000818","0.046085584756416234","1.33643489759854","1438","6","6","5080","111,169026,2645,6239,6514,6934"
