Trait	Network	DensityRare	DensityCommon	DensityShared	Repeat	similarity
nearestGene_EFO_0004741_GCST008062	pcnet2	0.018730489073881373	0.027548209366391185	0.02587890625	1	1.0
nearestGene_EFO_0005213_GCST90000654	pcnet2	0.12188365650969529	0.024691358024691357	0.09788166544923302	1	1.0
nearestGene_EFO_0010156_GCST010572	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0005213_GCST009414	pcnet2	0.09375	0.16326530612244897	0.1688888888888889	1	1.0
nearestGene_EFO_0005213_GCST006366	pcnet2	0.0	0.25	0.125	1	1.0
nearestGene_EFO_0006501_GCST010536	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0006501_GCST010538	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0006501_GCST010541	pcnet2	0.125	0.0	0.04081632653061224	1	1.0
nearestGene_EFO_0006332_GCST90100525	pcnet2	0.125	0.125	0.125	1	1.0
nearestGene_EFO_0005266_GCST90100532	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0005266_GCST90100553	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0008036_GCST90094959	pcnet2	0.8	0.4444444444444444	0.75	1	1.0
nearestGene_EFO_0008036_GCST90094960	pcnet2	0.375	0.75	0.75	1	1.0
nearestGene_EFO_0009863_GCST007710	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0006525_GCST007459	pcnet2	0.03305785123966942	0.10204081632653061	0.0896	1	1.0
nearestGene_EFO_0007117_GCST90100572	pcnet2	0.0625	0.05555555555555555	0.08163265306122448	1	1.0
nearestGene_EFO_0007117_GCST90100573	pcnet2	0.09876543209876543	0.0	0.04081632653061224	1	1.0
nearestGene_EFO_0007117_GCST90100574	pcnet2	0.04081632653061224	0.05555555555555555	0.07100591715976332	1	1.0
nearestGene_EFO_0007117_GCST90092502	pcnet2	0.035555555555555556	0.02040816326530612	0.028537455410225922	1	1.0
nearestGene_EFO_0007117_GCST90092503	pcnet2	0.015625	0.0078125	0.021484375	1	1.0
nearestGene_EFO_0007117_GCST90092504	pcnet2	0.02040816326530612	0.023668639053254437	0.010973936899862825	1	1.0
nearestGene_EFO_0007117_GCST90092505	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0005423_GCST008789	pcnet2	0.04081632653061224	0.05555555555555555	0.023668639053254437	1	1.0
nearestGene_EFO_0005423_GCST008788	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0000731_GCST009158	pcnet2	0.047337278106508875	0.049586776859504134	0.052083333333333336	1	1.0
nearestGene_EFO_0004343_GCST008996	pcnet2	0.041666666666666664	0.0391297014673638	0.04125940272960677	1	1.0
nearestGene_EFO_0004343_GCST008997	pcnet2	0.0136	0.0506198347107438	0.03531009506564056	1	1.0
nearestGene_EFO_0004343_GCST008998	pcnet2	0.065	0.02666666666666667	0.0473469387755102	1	1.0
nearestGene_EFO_0004343_GCST90103754	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0010225_GCST90060151	pcnet2	0.2222222222222222	0.2222222222222222	0.2222222222222222	1	1.0
nearestGene_EFO_0010225_GCST90060164	pcnet2	0.0	0.4444444444444444	0.32653061224489793	1	1.0
nearestGene_EFO_0010821_GCST90016673	pcnet2	0.0	0.0	0.09876543209876543	1	1.0
nearestGene_EFO_0004887_GCST90093316	pcnet2	0.0	0.0	0.05555555555555555	1	1.0
nearestGene_EFO_0004741_GCST90103632	pcnet2	0.03804994054696789	0.012486992715920915	0.027777777777777776	1	1.0
nearestGene_EFO_0004237_GCST90018627	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0000731_GCST90018714	pcnet2	0.12244897959183673	0.04081632653061224	0.09183673469387756	1	1.0
nearestGene_EFO_0004741_GCST90018728	pcnet2	0.027777777777777776	0.08333333333333333	0.05555555555555555	1	1.0
nearestGene_EFO_0004237_GCST90018847	pcnet2	0.16326530612244897	0.16666666666666666	0.17751479289940827	1	1.0
nearestGene_EFO_0000731_GCST90018934	pcnet2	0.0546875	0.16	0.10355029585798817	1	1.0
nearestGene_EFO_0004741_GCST90018948	pcnet2	0.03980851599899219	0.020828402366863907	0.030029296875	1	1.0
nearestGene_EFO_0021898_GCST90269581	pcnet2	0.2	0.1322314049586777	0.16326530612244897	1	1.0
nearestGene_EFO_0010821_GCST90267352	pcnet2	0.25	0.0	0.2857142857142857	1	1.0
nearestGene_EFO_0009397_GCST90267931	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0009397_GCST90267932	pcnet2	0.0	0.0	0.05555555555555555	1	1.0
nearestGene_EFO_0009397_GCST90267909	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0009397_GCST90267910	pcnet2	0.0	0.0	0.16	1	1.0
nearestGene_EFO_0006525_GCST90179151	pcnet2	0.09070294784580499	0.049886621315192746	0.06802721088435375	1	1.0
nearestGene_EFO_0004343_GCST90278649	pcnet2	0.1111111111111111	0.0	0.06944444444444445	1	1.0
nearestGene_EFO_0004741_GCST90278623	pcnet2	0.04081632653061224	0.023668639053254437	0.03017832647462277	1	1.0
nearestGene_EFO_0600008_GCST90268467	pcnet2	0.6666666666666666	0.125	0.40816326530612246	1	1.0
nearestGene_EFO_0007850_GCST90281274	pcnet2	0.0	0.0	0.0	1	1.0
nearestGene_EFO_0004741_GCST008062	pcnet2	0.018730489073881373	0.025711662075298437	0.02490234375	1	0.8227407651044357
nearestGene_EFO_0005213_GCST90000654	pcnet2	0.10526315789473684	0.006172839506172839	0.07888970051132213	1	0.8227407651044357
nearestGene_EFO_0010156_GCST010572	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0005213_GCST009414	pcnet2	0.0625	0.16326530612244897	0.14222222222222222	1	0.8227407651044357
nearestGene_EFO_0005213_GCST006366	pcnet2	0.0	0.125	0.0625	1	0.8227407651044357
nearestGene_EFO_0006501_GCST010536	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0006501_GCST010538	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0006501_GCST010541	pcnet2	0.125	0.0	0.04081632653061224	1	0.8227407651044357
