C	R	TRAIT_CODE_CLEAN	StudyC	StudyR	DISEASE/TRAIT	N_C	COHORT_C	Cosine_C	PUBMED ID	MAPPED_GENE	PMID	Reported Trait	COHORT_R	N_R	Ancestry	Cosine_R	GeneCount	StudyTrait
GCST90002372	33257650	EFO_0009188	GCST90002372_EFO_0009188	33257650_EFO_0009188	Red cell distribution width	563352.0	Airwave|BioME|BioME|BioME|CaPS|FHS|GERA|GERA|GERA|GERA|GERA|HANDLS|INTERVAL|JHS|MHIphase1|MHIphase2|RS|RS|RSI|SHIP|SHIPNATREND|UKB|UKB|UKB|UKB|WHI	1.0000004	32888493	204.0	33257650	Red blood cell distribution width	UKB	487409.0	EUR	0.8404328	20	33257650_EFO_0009188
GCST90002372	36138231	EFO_0009188	GCST90002372_EFO_0009188	36138231_EFO_0009188	Red cell distribution width	563352.0	Airwave|BioME|BioME|BioME|CaPS|FHS|GERA|GERA|GERA|GERA|GERA|HANDLS|INTERVAL|JHS|MHIphase1|MHIphase2|RS|RS|RSI|SHIP|SHIPNATREND|UKB|UKB|UKB|UKB|WHI	1.0000004	32888493	204.0	36138231	Red blood cell (erythrocyte) distribution width	UKB	162248.0	EUR	0.7892389	28	36138231_EFO_0009188
GCST90002372	31992710	EFO_0009188	GCST90002372_EFO_0009188	31992710_EFO_0009188	Red cell distribution width	563352.0	Airwave|BioME|BioME|BioME|CaPS|FHS|GERA|GERA|GERA|GERA|GERA|HANDLS|INTERVAL|JHS|MHIphase1|MHIphase2|RS|RS|RSI|SHIP|SHIPNATREND|UKB|UKB|UKB|UKB|WHI	1.0000004	32888493	204.0	31992710	Red blood cell (erythrocyte) distribution width	UKB	39306.0	EUR	0.7892389	3	31992710_EFO_0009188
GCST90002372	34662886	EFO_0009188	GCST90002372_EFO_0009188	34662886_EFO_0009188	Red cell distribution width	563352.0	Airwave|BioME|BioME|BioME|CaPS|FHS|GERA|GERA|GERA|GERA|GERA|HANDLS|INTERVAL|JHS|MHIphase1|MHIphase2|RS|RS|RSI|SHIP|SHIPNATREND|UKB|UKB|UKB|UKB|WHI	1.0000004	32888493	204.0	34662886	30070_red_blood_cell_erythrocyte_distribution_width_inst_mean__rint	UKB	419168.27397260274	EUR	0.54354054	3	34662886_EFO_0009188
GCST007074	34375979	EFO_0009188	GCST007074_EFO_0009188	34375979_EFO_0009188	Red cell distribution width	445000.0		1.0000004	30595370	394.0	34375979	Red blood cell (erythrocyte) distribution width	UKB	261245.0	EUR	0.7892389	22	34375979_EFO_0009188
GCST007074	33257650	EFO_0009188	GCST007074_EFO_0009188	33257650_EFO_0009188	Red cell distribution width	445000.0		1.0000004	30595370	394.0	33257650	Red blood cell distribution width	UKB	487409.0	EUR	0.8404328	20	33257650_EFO_0009188
GCST007074	36138231	EFO_0009188	GCST007074_EFO_0009188	36138231_EFO_0009188	Red cell distribution width	445000.0		1.0000004	30595370	394.0	36138231	Red blood cell (erythrocyte) distribution width	UKB	162248.0	EUR	0.7892389	28	36138231_EFO_0009188
GCST007074	31992710	EFO_0009188	GCST007074_EFO_0009188	31992710_EFO_0009188	Red cell distribution width	445000.0		1.0000004	30595370	394.0	31992710	Red blood cell (erythrocyte) distribution width	UKB	39306.0	EUR	0.7892389	3	31992710_EFO_0009188
GCST007074	34662886	EFO_0009188	GCST007074_EFO_0009188	34662886_EFO_0009188	Red cell distribution width	445000.0		1.0000004	30595370	394.0	34662886	30070_red_blood_cell_erythrocyte_distribution_width_inst_mean__rint	UKB	419168.27397260274	EUR	0.54354054	3	34662886_EFO_0009188
GCST90025988	34375979	EFO_0009188	GCST90025988_EFO_0009188	34375979_EFO_0009188	Red cell distribution width	441263.0	UKB	1.0000004	34226706	16.0	34375979	Red blood cell (erythrocyte) distribution width	UKB	261245.0	EUR	0.7892389	22	34375979_EFO_0009188
GCST90025988	33257650	EFO_0009188	GCST90025988_EFO_0009188	33257650_EFO_0009188	Red cell distribution width	441263.0	UKB	1.0000004	34226706	16.0	33257650	Red blood cell distribution width	UKB	487409.0	EUR	0.8404328	20	33257650_EFO_0009188
GCST90025988	36138231	EFO_0009188	GCST90025988_EFO_0009188	36138231_EFO_0009188	Red cell distribution width	441263.0	UKB	1.0000004	34226706	16.0	36138231	Red blood cell (erythrocyte) distribution width	UKB	162248.0	EUR	0.7892389	28	36138231_EFO_0009188
GCST90025988	31992710	EFO_0009188	GCST90025988_EFO_0009188	31992710_EFO_0009188	Red cell distribution width	441263.0	UKB	1.0000004	34226706	16.0	31992710	Red blood cell (erythrocyte) distribution width	UKB	39306.0	EUR	0.7892389	3	31992710_EFO_0009188
GCST90025988	34662886	EFO_0009188	GCST90025988_EFO_0009188	34662886_EFO_0009188	Red cell distribution width	441263.0	UKB	1.0000004	34226706	16.0	34662886	30070_red_blood_cell_erythrocyte_distribution_width_inst_mean__rint	UKB	419168.27397260274	EUR	0.54354054	3	34662886_EFO_0009188
GCST90448626	34375979	EFO_0009188	GCST90448626_EFO_0009188	34375979_EFO_0009188	Red cell distribution width	38000.0	G&H	1.0000004	39414775	13.0	34375979	Red blood cell (erythrocyte) distribution width	UKB	261245.0	EUR	0.7892389	22	34375979_EFO_0009188
GCST90448626	33257650	EFO_0009188	GCST90448626_EFO_0009188	33257650_EFO_0009188	Red cell distribution width	38000.0	G&H	1.0000004	39414775	13.0	33257650	Red blood cell distribution width	UKB	487409.0	EUR	0.8404328	20	33257650_EFO_0009188
GCST90448626	36138231	EFO_0009188	GCST90448626_EFO_0009188	36138231_EFO_0009188	Red cell distribution width	38000.0	G&H	1.0000004	39414775	13.0	36138231	Red blood cell (erythrocyte) distribution width	UKB	162248.0	EUR	0.7892389	28	36138231_EFO_0009188
GCST90448626	31992710	EFO_0009188	GCST90448626_EFO_0009188	31992710_EFO_0009188	Red cell distribution width	38000.0	G&H	1.0000004	39414775	13.0	31992710	Red blood cell (erythrocyte) distribution width	UKB	39306.0	EUR	0.7892389	3	31992710_EFO_0009188
GCST90448626	34662886	EFO_0009188	GCST90448626_EFO_0009188	34662886_EFO_0009188	Red cell distribution width	38000.0	G&H	1.0000004	39414775	13.0	34662886	30070_red_blood_cell_erythrocyte_distribution_width_inst_mean__rint	UKB	419168.27397260274	EUR	0.54354054	3	34662886_EFO_0009188
GCST90002404	34375979	EFO_0009188	GCST90002404_EFO_0009188	34375979_EFO_0009188	Red cell distribution width	408112.0	UKB	1.0000004	32888494	300.0	34375979	Red blood cell (erythrocyte) distribution width	UKB	261245.0	EUR	0.7892389	22	34375979_EFO_0009188
GCST90002404	33257650	EFO_0009188	GCST90002404_EFO_0009188	33257650_EFO_0009188	Red cell distribution width	408112.0	UKB	1.0000004	32888494	300.0	33257650	Red blood cell distribution width	UKB	487409.0	EUR	0.8404328	20	33257650_EFO_0009188
GCST90002404	36138231	EFO_0009188	GCST90002404_EFO_0009188	36138231_EFO_0009188	Red cell distribution width	408112.0	UKB	1.0000004	32888494	300.0	36138231	Red blood cell (erythrocyte) distribution width	UKB	162248.0	EUR	0.7892389	28	36138231_EFO_0009188
