	Log2SizeOE_norm	Log2SizeOE	Prediction	Residual
34662886_EFO_0000095_GCST000224_EFO_0000095	0.40477648499693814	0.6854215148770525	0.2597299080662385	0.1450465769306996
34662886_EFO_0000095_GCST002073_EFO_0000095	0.5425597060624617	1.063675848677012	0.32079757701148437	0.22176212905097736
34662886_EFO_0000095_GCST003468_EFO_0000095	0.453153704837722	0.8324008644045922	0.305471154775548	0.147682550062174
34662886_EFO_0000095_GCST004146_EFO_0000095	0.41702388242498467	0.720460802255935	0.2942224227011465	0.12280145972383816
34662886_EFO_0000095_GCST90027053_EFO_0000095	0.14574402939375383	-0.1081029810955067	0.24700770917802467	-0.10126367978427084
34375979_EFO_0000096_GCST002643_EFO_0000096	0.02204531537048377	-0.6806968374659561	0.19282827164680133	-0.17078295627631757
34375979_EFO_0000198_GCST009516_EFO_0000198	0.05511328842620943	-0.4388523037512452	0.2873135167790917	-0.2322002283528823
34375979_EFO_0000217_GCST002638_EFO_0000217	0.1359461114513166	-0.1472949982012974	0.11752032666912704	0.018425784782189564
34375979_EFO_0000266_GCST90276156_EFO_0000266	0.4060012247397428	0.6858132719506373	0.2442197739133644	0.1617814508263784
34375979_EFO_0000274_GCST001709_EFO_0000274	0.06001224739742805	-0.4209222795846123	0.1463540551872924	-0.08634180778986433
34375979_EFO_0000274_GCST90013680_EFO_0000274	0.27250459277403555	0.2667541367756664	0.15368934915054638	0.11881524362348916
34375979_EFO_0000274_GCST90018784_EFO_0000274	0.18248622167789347	0.0011907146460887	0.18811182035504487	-0.0056255986771514
34375979_EFO_0000274_GCST90027161_EFO_0000274	0.21922841396203308	0.1211035958025538	0.1855962656514319	0.033632148310601184
34375979_EFO_0000274_GCST90297795_EFO_0000274	0.2222902633190446	0.1314552794065081	0.26512994264498313	-0.04283967932593852
34375979_EFO_0000275_GCST005306_EFO_0000275	0.3515003061849357	0.5353431273869367	0.2895197866321799	0.0619805195527558
34375979_EFO_0000275_GCST90018576_EFO_0000275	0.20636864666258425	0.0809101570712261	0.33139126849217854	-0.12502262182959428
34375979_EFO_0000275_GCST90018796_EFO_0000275	0.43478260869565216	0.7729357501611445	0.34445952820152165	0.09032308049413051
34375979_EFO_0000275_GCST90095475_EFO_0000275	0.14390691977954684	-0.1122761571743013	0.30310796428004183	-0.159201044500495
34375979_EFO_0000275_GCST90204201_EFO_0000275	0.46417636252296385	0.8568033799284261	0.32687829112346667	0.13729807139949718
34375979_EFO_0000280_GCST002230_EFO_0000280	0.02449479485609308	-0.6687697924312104	0.14614356833971476	-0.12164877348362169
34375979_EFO_0000280_GCST003738_EFO_0000280	0.04592774035517452	-0.4773957656602214	0.17932240117195725	-0.13339466081678272
34375979_EFO_0000280_GCST90000515_EFO_0000280	0.003674219228413962	-1.0361364293873174	0.18175898656135864	-0.17808476733294468
34375979_EFO_0000280_GCST90258657_EFO_0000280	0.011022657685241886	-0.875019643277691	0.16357434803142884	-0.15255169034618696
34375979_EFO_0000284_GCST008169_EFO_0000284	0.3061849357011635	0.3676464663488498	0.22316697220797893	0.08301796349318458
25187575_EFO_0000319_GCST007072_EFO_0000319	0.40967544396815675	0.6978670895256054	0.4462203657416928	-0.036544921773536077
34375979_EFO_0000319_GCST007072_EFO_0000319	0.1230863441518677	-0.1898689925313303	0.21277803967377795	-0.08969169552191025
25187575_EFO_0000319_GCST90446535_EFO_0000319	0.6007348438456828	1.258757550174663	0.5950800635465732	0.005654780299109596
34375979_EFO_0000319_GCST90446535_EFO_0000319	0.01837109614206981	-0.7482067669938706	0.2467691231380854	-0.2283980269960156
26736064_EFO_0000341_GCST007692_EFO_0000341	0.33006736068585424	0.4540159461023775	0.27528473361063655	0.054782627075217694
34375979_EFO_0000341_GCST007692_EFO_0000341	0.21800367421922842	0.1170739309500693	0.26392212692867856	-0.045918452709450136
26736064_EFO_0000341_GCST90018587_EFO_0000341	0.04654011022657685	-0.4762630454249262	0.23403704047405893	-0.1874969302474821
34375979_EFO_0000341_GCST90018587_EFO_0000341	0.1475811390079608	-0.1047609194975133	0.18648074901783407	-0.03889961000987327
26736064_EFO_0000341_GCST90018807_EFO_0000341	0.15064298836497245	-0.0877358574440612	0.25890236891306406	-0.10825938054809162
34375979_EFO_0000341_GCST90018807_EFO_0000341	0.192896509491733	0.0364676872516949	0.20439658702199787	-0.011500077530264857
26736064_EFO_0000341_GCST90103985_EFO_0000341	0.34782608695652173	0.5227458528056327	0.27977911029172564	0.06804697666479609
34375979_EFO_0000341_GCST90103985_EFO_0000341	0.26025719534598907	0.2342265922138389	0.2499340538632453	0.01032314148274377
26736064_EFO_0000341_GCST90399695_EFO_0000341	0.46785058175137784	0.8646753530606838	0.2951348281224834	0.17271575362889446
34375979_EFO_0000341_GCST90399695_EFO_0000341	0.10532761788120025	-0.2362478921388541	0.24362082731017182	-0.13829320942897155
20549515_EFO_0000384_GCST004132_EFO_0000384	0.7734231475811391	1.680590370142003	0.5244237085578757	0.24899943902326338
21738570_EFO_0000384_GCST004132_EFO_0000384	0.6956521739130435	1.5138661076543152	0.6767188453191479	0.018933328593895515
