Entrez	Gene Symbol	P-value	Beta
4092	SMAD7	2e-14	0.15788
50515	CHST11	5e-11	2.18069
4724	NDUFS4	2e-10	2.06627
23022	PALLD	2e-09	2.12876
91584	PLXNA4	3e-09	0.917445
342184	FMN1	4e-09	0.678477
57580	PREX1	5e-09	0.126207
152098	ZCWPW2	7e-09	0.472316
10086	HHLA1	2e-08	2.12616
8667	EIF3H	4e-08	0.24076
92521	SPECC1	4e-08	2.23671
51535	PPHLN1	5e-08	1.05174
7145	TNS1	8e-08	1.3358
2803	GOLGA4	9e-08	2.25147
22998	LIMCH1	1e-07	1.72766
90139	TSPAN18	1e-07	1.16769
374864	CCDC178	1e-07	1.75408
23090	ZNF423	1e-07	1.7328
5137	PDE1C	2e-07	1.94368
6695	SPOCK1	2e-07	1.59764
124590	USH1G	2e-07	1.55478
85415	RHPN2	2e-07	0.284604
1289	COL5A1	3e-07	1.3693
5336	PLCG2	4e-07	1.41124
220929	ZNF438	4e-07	1.3818
2740	GLP1R	4e-07	1.9602
23281	MTUS2	4e-07	1.2914
7015	TERT	4e-07	0.10338
255119	CFAP299	4e-07	1.92745
121665	SPPL3	5e-07	1.59932
10082	GPC6	5e-07	1.69678
116151	FAM210B	5e-07	1.43454
285362	SUMF1	5e-07	1.37792
25771	TBC1D22A	6e-07	1.34125
158158	RASEF	6e-07	1.02473
222546	RFX6	6e-07	1.63934
341208	HEPHL1	7e-07	1.30838
27303	RBMS3	7e-07	0.440566
51761	ATP8A2	7e-07	1.87403
55800	SCN3B	7e-07	0.948748
26018	LRIG1	7e-07	1.93103
286205	SCAI	8e-07	2.21217
1284	COL4A2	8e-07	0.105629
10690	FUT9	8e-07	2.55721
23287	AGTPBP1	8e-07	1.52589
221395	ADGRF5	9e-07	1.66827
55824	PAG1	9e-07	1.5412
23301	EHBP1	9e-07	1.73817
2272	FHIT	9e-07	2.11324
445815	PALM2AKAP2	1e-06	2.0042
9616	RNF7	1e-06	1.61717
2829	XCR1	1e-06	1.95151
118426	BORCS5	1e-06	1.75768
6764	DENND2B	1e-06	1.14307
126668	TDRD10	1e-06	1.96349
9369	NRXN3	1e-06	1.68826
387357	THEMIS	1e-06	1.18314
9706	ULK2	1e-06	1.86279
1806	DPYD	1e-06	1.53556
283464	GXYLT1	1e-06	0.845743
343413	FCRL6	1e-06	0.400363
6641	SNTB1	1e-06	0.687384
399687	MYO18A	1e-06	1.09776
3658	IREB2	1e-06	0.979287
23499	MACF1	1e-06	0.690008
50863	NTM	1e-06	0.876562
205428	DIPK2A	1e-06	1.59972
81846	SBF2	1e-06	1.59189
3559	IL2RA	2e-06	1.87221
9413	ENTREP1	2e-06	1.07721
10718	NRG3	2e-06	1.86453
9289	ADGRG1	2e-06	0.817655
140901	STK35	2e-06	1.43542
8455	ATRN	2e-06	1.60939
3911	LAMA5	2e-06	0.116009
54861	SNRK	2e-06	0.319101
26084	ARHGEF26	2e-06	1.57132
814	CAMK4	2e-06	0.81214
26206	SPAG8	2e-06	2.1506
9517	SPTLC2	2e-06	1.46291
129446	XIRP2	2e-06	1.21119
152065	C3orf22	2e-06	1.9198
4211	MEIS1	2e-06	1.50874
79582	SPAG16	2e-06	1.5622
9833	MELK	2e-06	2.02377
729993	SHISA9	2e-06	1.54963
5799	PTPRN2	3e-06	1.61519
23671	TMEFF2	3e-06	0.350705
9462	RASAL2	3e-06	1.97638
10175	CNIH1	3e-06	2.13543
56164	STK31	3e-06	2.13631
84623	KIRREL3	3e-06	0.117077
9759	HDAC4	3e-06	1.10336
4482	MSRA	3e-06	2.1215
100874028	SGO1-AS1	3e-06	2.10134
25884	CHRDL2	3e-06	0.268066
