Entrez	Chrom	Start	End	GeneSize	CDS_length
1	19	58345178	58353492	8314	2134
10	8	18391282	18401218	9936	1285
100	20	44584896	44652252	67356	1877
1000	18	27932879	28177946	245067	1397
10000	1	243488233	243851079	362846	1688
100008586	X	49551278	49568218	16940	585
100009676	3	101676421	101679217	2796	2797
10001	14	70581257	70600690	19433	975
10002	15	71792638	71818259	25621	2032
10003	11	90131515	90192894	61379	730
100033411	16	75693893	75701461	7568	1117
100033422	15	25074114	25074215	101	102
100033423	15	25075929	25076020	91	92
100033437	15	25172635	25172716	81	82
100033440	15	25174927	25175008	81	82
100033441	15	25176832	25176913	81	82
100033442	15	25178738	25178819	81	82
100033443	15	25180497	25180578	81	82
100033444	15	25182385	25182466	81	82
100033445	15	25184306	25184387	81	82
100033446	15	25185631	25185712	81	82
100033447	15	25187536	25187616	80	81
100033448	15	25189414	25189495	81	82
100033449	15	25191416	25191497	81	82
100033450	15	25193321	25193402	81	82
100033451	15	25194921	25195001	80	81
100033453	15	25197576	25197656	80	81
100033454	15	25199448	25199529	81	82
100033455	15	25201323	25201404	81	82
100033456	15	25203227	25203308	81	82
100033458	15	25204357	25204438	81	82
100033460	15	25206262	25206343	81	82
100033603	15	25208083	25208163	80	81
100033799	15	25209918	25209999	81	82
100033800	15	25211796	25211877	81	82
100033801	15	25215541	25215622	81	82
100033802	15	25218617	25218698	81	82
100033803	15	25223246	25223327	81	82
100033804	15	25225203	25225284	81	82
100033805	15	25227109	25227190	81	82
100033806	15	25228967	25229048	81	82
100033807	15	25230838	25230919	81	82
100033808	15	25232387	25232468	81	82
100033809	15	25234247	25234328	81	82
100033810	15	25236085	25236166	81	82
100033811	15	25237986	25238067	81	82
100033812	15	25239838	25239919	81	82
100033813	15	25241746	25241827	81	82
100033814	15	25243614	25243695	81	82
100033815	15	25245478	25245559	81	82
100033816	15	25247345	25247426	81	82
100033817	15	25249198	25249279	81	82
100033818	15	25250859	25250940	81	82
100033819	11	1996759	1996831	72	73
100033822	15	25269783	25269858	75	76
100036564	15	25220497	25220578	81	82
100036565	15	25222348	25222428	80	81
100037417	22	23966888	23972556	5668	1582
